entity_id,state,last_changed
sensor.example_grid_power,450.2,2025-01-15T00:00:00.000Z
sensor.example_grid_power,420.8,2025-01-15T01:00:00.000Z
sensor.example_grid_power,380.5,2025-01-15T02:00:00.000Z
sensor.example_grid_power,350.1,2025-01-15T03:00:00.000Z
sensor.example_grid_power,340.0,2025-01-15T04:00:00.000Z
sensor.example_grid_power,390.6,2025-01-15T05:00:00.000Z
sensor.example_grid_power,620.3,2025-01-15T06:00:00.000Z
sensor.example_grid_power,850.7,2025-01-15T07:00:00.000Z
sensor.example_grid_power,780.4,2025-01-15T08:00:00.000Z
sensor.example_grid_power,320.1,2025-01-15T09:00:00.000Z
sensor.example_grid_power,-150.5,2025-01-15T10:00:00.000Z
sensor.example_grid_power,-580.2,2025-01-15T11:00:00.000Z
sensor.example_grid_power,-720.8,2025-01-15T12:00:00.000Z
sensor.example_grid_power,-650.3,2025-01-15T13:00:00.000Z
sensor.example_grid_power,-410.6,2025-01-15T14:00:00.000Z
sensor.example_grid_power,-120.9,2025-01-15T15:00:00.000Z
sensor.example_grid_power,280.4,2025-01-15T16:00:00.000Z
sensor.example_grid_power,950.1,2025-01-15T17:00:00.000Z
sensor.example_grid_power,1200.5,2025-01-15T18:00:00.000Z
sensor.example_grid_power,1050.3,2025-01-15T19:00:00.000Z
sensor.example_grid_power,820.7,2025-01-15T20:00:00.000Z
sensor.example_grid_power,650.2,2025-01-15T21:00:00.000Z
sensor.example_grid_power,530.8,2025-01-15T22:00:00.000Z
sensor.example_grid_power,470.1,2025-01-15T23:00:00.000Z
