entity_id,state,last_changed
sensor.example_ext_temp,-2.5,2025-01-15T00:00:00.000Z
sensor.example_ext_temp,-3.1,2025-01-15T01:00:00.000Z
sensor.example_ext_temp,-3.8,2025-01-15T02:00:00.000Z
sensor.example_ext_temp,-4.2,2025-01-15T03:00:00.000Z
sensor.example_ext_temp,-4.5,2025-01-15T04:00:00.000Z
sensor.example_ext_temp,-4.1,2025-01-15T05:00:00.000Z
sensor.example_ext_temp,-3.6,2025-01-15T06:00:00.000Z
sensor.example_ext_temp,-2.8,2025-01-15T07:00:00.000Z
sensor.example_ext_temp,-1.5,2025-01-15T08:00:00.000Z
sensor.example_ext_temp,-0.3,2025-01-15T09:00:00.000Z
sensor.example_ext_temp,0.8,2025-01-15T10:00:00.000Z
sensor.example_ext_temp,1.9,2025-01-15T11:00:00.000Z
sensor.example_ext_temp,2.5,2025-01-15T12:00:00.000Z
sensor.example_ext_temp,2.8,2025-01-15T13:00:00.000Z
sensor.example_ext_temp,2.4,2025-01-15T14:00:00.000Z
sensor.example_ext_temp,1.6,2025-01-15T15:00:00.000Z
sensor.example_ext_temp,0.5,2025-01-15T16:00:00.000Z
sensor.example_ext_temp,-0.4,2025-01-15T17:00:00.000Z
sensor.example_ext_temp,-1.2,2025-01-15T18:00:00.000Z
sensor.example_ext_temp,-1.8,2025-01-15T19:00:00.000Z
sensor.example_ext_temp,-2.1,2025-01-15T20:00:00.000Z
sensor.example_ext_temp,-2.5,2025-01-15T21:00:00.000Z
sensor.example_ext_temp,-2.8,2025-01-15T22:00:00.000Z
sensor.example_ext_temp,-3.0,2025-01-15T23:00:00.000Z
